bucket,prefixo,regiao,storage_class,tamanho_gb,idade_dias,num_objetos,preco_por_gb,custo_mensal_usd
app-assets,archive/,sa-east-1,STANDARD,86.13,316,590,0.0405,3.49
ml-datasets,archive/,us-east-1,STANDARD,77.48,381,2744,0.023,1.78
data-lake-raw,2023/,us-east-1,GLACIER,136.25,111,1594,0.0036,0.49
ml-datasets,archive/,sa-east-1,GLACIER,44.43,14,492,0.0085,0.38
ml-datasets,raw/,us-east-1,STANDARD_IA,190.04,231,1259,0.0125,2.38
backups-eu,processed/,sa-east-1,GLACIER,157.48,84,682,0.0085,1.34
data-lake-raw,2023/,sa-east-1,STANDARD_IA,18.79,130,640,0.026250000000000002,0.49
data-lake-raw,processed/,us-east-1,STANDARD,84.1,231,2718,0.023,1.93
data-lake-raw,archive/,sa-east-1,STANDARD,175.94,326,671,0.0405,7.13
ml-datasets,archive/,us-east-1,STANDARD,189.0,145,2862,0.023,4.35
app-assets,2023/,sa-east-1,GLACIER_DEEP_ARCHIVE,94.01,379,2476,0.002079,0.2
data-lake-raw,raw/,us-east-1,STANDARD_IA,123.07,345,997,0.0125,1.54
ml-datasets,2024/,us-east-1,STANDARD_IA,34.24,28,1556,0.0125,0.43
backups-eu,2023/,sa-east-1,STANDARD_IA,198.24,66,659,0.026250000000000002,5.2
app-assets,2024/,sa-east-1,GLACIER_DEEP_ARCHIVE,47.1,163,978,0.002079,0.1
backups-eu,2024/,us-east-1,STANDARD,188.6,229,2647,0.023,4.34
app-assets,raw/,sa-east-1,STANDARD_IA,130.28,261,1110,0.026250000000000002,3.42
ml-datasets,2024/,us-east-1,STANDARD_IA,121.94,164,2566,0.0125,1.52
logs-prod,2024/,us-east-1,STANDARD_IA,103.03,301,450,0.0125,1.29
app-assets,raw/,us-east-1,STANDARD,46.9,303,930,0.023,1.08
backups-eu,2024/,us-east-1,GLACIER,36.13,287,779,0.0036,0.13
ml-datasets,2024/,us-east-1,GLACIER_DEEP_ARCHIVE,44.88,395,1353,0.00099,0.04
app-assets,2024/,us-east-1,STANDARD_IA,38.1,10,1836,0.0125,0.48
logs-prod,2023/,sa-east-1,GLACIER,156.14,195,272,0.0085,1.33
logs-prod,2023/,sa-east-1,GLACIER_DEEP_ARCHIVE,70.67,118,1587,0.002079,0.15
data-lake-raw,2023/,sa-east-1,GLACIER,12.51,270,2694,0.0085,0.11
data-lake-raw,raw/,us-east-1,STANDARD,193.85,80,2516,0.023,4.46
backups-eu,archive/,us-east-1,STANDARD_IA,176.87,93,1008,0.0125,2.21
app-assets,2024/,sa-east-1,STANDARD_IA,185.62,266,709,0.026250000000000002,4.87
app-assets,2024/,sa-east-1,STANDARD_IA,198.99,332,2359,0.026250000000000002,5.22
data-lake-raw,raw/,us-east-1,GLACIER,35.61,350,1613,0.0036,0.13
app-assets,2024/,sa-east-1,GLACIER_DEEP_ARCHIVE,79.85,361,1251,0.002079,0.17
app-assets,2023/,sa-east-1,GLACIER_DEEP_ARCHIVE,151.89,257,1135,0.002079,0.32
logs-prod,archive/,sa-east-1,STANDARD_IA,139.51,133,2611,0.026250000000000002,3.66
data-lake-raw,processed/,sa-east-1,STANDARD,31.63,276,2345,0.0405,1.28
ml-datasets,2024/,sa-east-1,GLACIER_DEEP_ARCHIVE,163.35,264,1200,0.002079,0.34
data-lake-raw,2023/,us-east-1,GLACIER,45.66,171,2678,0.0036,0.16
ml-datasets,processed/,sa-east-1,STANDARD,45.54,1,1015,0.0405,1.84
logs-prod,archive/,sa-east-1,GLACIER_DEEP_ARCHIVE,107.86,313,45,0.002079,0.22
backups-eu,processed/,us-east-1,GLACIER,119.0,64,753,0.0036,0.43
app-assets,2023/,us-east-1,STANDARD_IA,116.44,374,1774,0.0125,1.46
logs-prod,processed/,us-east-1,STANDARD_IA,19.21,284,362,0.0125,0.24
app-assets,raw/,sa-east-1,STANDARD,175.61,121,1932,0.0405,7.11
backups-eu,processed/,sa-east-1,STANDARD,53.85,107,82,0.0405,2.18
backups-eu,2024/,us-east-1,STANDARD,26.77,175,2705,0.023,0.62
logs-prod,2024/,us-east-1,GLACIER,177.86,204,1386,0.0036,0.64
backups-eu,raw/,us-east-1,STANDARD,191.17,165,1924,0.023,4.4
ml-datasets,2023/,sa-east-1,STANDARD,172.56,305,1103,0.0405,6.99
backups-eu,2024/,sa-east-1,STANDARD,162.09,120,2482,0.0405,6.56
app-assets,archive/,sa-east-1,STANDARD_IA,131.39,44,717,0.026250000000000002,3.45
app-assets,2024/,us-east-1,GLACIER_DEEP_ARCHIVE,110.62,312,1814,0.00099,0.11
app-assets,2024/,us-east-1,STANDARD,18.31,156,2618,0.023,0.42
app-assets,2023/,us-east-1,STANDARD,82.28,367,2885,0.023,1.89
ml-datasets,processed/,us-east-1,GLACIER,75.17,207,965,0.0036,0.27
data-lake-raw,2024/,sa-east-1,STANDARD_IA,52.69,390,2574,0.026250000000000002,1.38
logs-prod,raw/,sa-east-1,STANDARD,144.96,108,2485,0.0405,5.87
app-assets,processed/,sa-east-1,STANDARD_IA,99.68,251,169,0.026250000000000002,2.62
backups-eu,archive/,sa-east-1,STANDARD,17.13,370,2206,0.0405,0.69
app-assets,2023/,us-east-1,STANDARD,44.82,334,2833,0.023,1.03
backups-eu,archive/,sa-east-1,STANDARD_IA,136.97,130,1745,0.026250000000000002,3.6
backups-eu,processed/,sa-east-1,STANDARD_IA,16.15,293,1595,0.026250000000000002,0.42
app-assets,processed/,sa-east-1,GLACIER_DEEP_ARCHIVE,170.39,20,76,0.002079,0.35
ml-datasets,processed/,us-east-1,STANDARD,99.53,282,2438,0.023,2.29
backups-eu,archive/,us-east-1,STANDARD_IA,96.64,285,67,0.0125,1.21
backups-eu,processed/,us-east-1,STANDARD_IA,118.89,1,351,0.0125,1.49
app-assets,archive/,sa-east-1,STANDARD,165.11,119,1163,0.0405,6.69
backups-eu,processed/,sa-east-1,GLACIER,70.21,35,2784,0.0085,0.6
backups-eu,raw/,us-east-1,STANDARD,135.93,198,1205,0.023,3.13
app-assets,processed/,sa-east-1,GLACIER_DEEP_ARCHIVE,113.58,245,2827,0.002079,0.24
app-assets,archive/,sa-east-1,STANDARD,54.14,59,2671,0.0405,2.19
logs-prod,2024/,us-east-1,STANDARD_IA,175.85,325,1242,0.0125,2.2
ml-datasets,processed/,us-east-1,STANDARD,159.69,161,2411,0.023,3.67
ml-datasets,2024/,sa-east-1,GLACIER_DEEP_ARCHIVE,132.03,179,1504,0.002079,0.27
